Word,Definition
tuisku,high wind heavy snowfall
tykkilumi,artificial snow on ski slopes
tykkylumi,heavy snow that accumulates on branches
umpihanki,"thick, unbroken blanket of snow"
vitilumi,"thin, freshly fallen snow"
puuterilumi,"thin, fresh snow"
umpijää,ice thick enough to walk on
sataa lunta,to snow
pyryttää,to snow heavily
jäätyä,"to freeze (water, road)"
huurtua,to frost over (windows)
sulaa,to melt
kiristyä,to get even colder (frost)
lauhtua,to get less cold (weather)
hellittää,to ease off (weather)
routia,to freeze (roads)
nietostua,to be blown into a pile
kinostua,to be blown into a pile
kimmeltää,"to glisten, twinkle"
liukastua,to slip and fall (on ice)
aurata lunta,to plow the snow
rämpiä,to slosh around (in snow)
paleltua,"to freeze (plants, skin)"
paleltaa,to feel cold (person)
hytistä,to tremble (from cold)
talvehtia,to overwinter somewhere
horrostaa,to hibernate
talvettaa,to prepare for winter (plants)
narskua,to crunch (snow under feet)
narista,to creak (ice under feet)
alkutalvi,early winter
keskitalvi,midwinter
lopputalvi,latewinter
sydäntalvi,the depth of winter
talvihorros,winter torpor
talviuni,hibernation
talvikalastus,winter fishing
talviloma,winter holiday
talvimatkailu,winter tourism
talviolympialaiset,winter olympics
talvirengas,winter tire
talvitakki,winter coat
pakkasaamu,frosty morning
pakkaspäivä,cold winter day
pakkasyö,frosty night
pakkasilma,frosty weather
pakkassää,frosty weather
pakkasaste,degrees below zero
pakkasenarka,frost-sensitive
pakkasenpurema,frostbite
pakkasherra,mister freeze
pakkasukko,grandfather frost
pakkasneste,antifreeze
pakkasvaroitus,warning of upcoming frost
pakkasvaurio,"frost damage to plants, buildings"
pakkasvoide,protective cream for skis
lumiaita,snow fence
lumiaura,snowplow
lumihanki,snow crust
lumihiutale,snowflake
lumikello,snowdrop(flower)
lumikengät,snowshoes
lumikerros,layer of snow
lumiketju,snow chain for tire
lumikinos,snowdrift
lumikola,snow shovel
lumilapio,snow shovel
lumilauta,snowboard
lumilinko,snow blower
lumilyhty,snow lantern
lumimaja,igloo
lumimarja,snowberry
lumimies,yeti
lumimyrsky,snowstorm
lumipallo,snowball
lumipeite,blanket of snow
lumipuku,snowsuit
lumisokeus,snow blindness
lumisota,snowbal fight
lumiukko,snowman
lumiveistos,snow sculpture
ensilumi,first snow
irtolumi,loose snow
tekolumi,artificial snow
kova pakkanen,heavy frost
ankara pakkanen,severe frost
kylmä,cold
jäätävä tuuli,"icy, freezing"
hyinen tuuli,"icy, freezing"
tiheä pyry,dense snowfall
kova pyry,heavy snowfall
sakea pyry,thick snowfall
voimakas,"strong (wind, storm)"
lauha,"mild (weather, winter, wind)"
lauhkea,"mild (weather, winter, wind)"
liukas,"slippery (road, street, yard)"
jäinen,"icy (road, street, yard)"
kuurainen,"frosty (road, street, yard)"
loskainen,"slushy (road, street, snow)"
sohjoinen,"slushy (road, street, snow)"
märkä,"wet (snow, weather)"
nuoskainen,"close to zero degrees (weather, snow)"
Rakennetaan lumiukko!,Let’s build a snowman!
Pihalla on 40 senttiä lunta.,There 40 cm of snow on the yard.
Onko joulu valkea?,Will it snow at Christmas?
Pysyykö lumi maassa?,Does the snow stay on the ground?
Tiet ovat liukkaita.,The roads are slippery.
Tiellä on mustaa jäätä.,There is black ice on the road.
Lumet oli aurattu.,The snow had been plowed.
Katua ei ollut aurattu.,The street hadn’t been plowed.
Alue oli hiekoitettu.,The area has been sanded.
Silta on jäässä.,The bridge is frozen.
Jää kimmeltää.,The ice glitters.
Kovilla pakkasilla jään kotiin.,When it’s super cold I stay home.
Ajan sohjoisella tiellä.,I drive on the slushy road.
Myös koirat palelevat talvella.,Dogs are also cold in winter.
Pakkaslumi narskuu kenkien alla.,The frozen snow crunches under the shoes.
Pakkanen kiristyy.,It starts freezing even more.
Pakkaset paukkuu.,It’s extremely cold.
Pakkanen lauhtuu.,It starts freezing a bit less.
Pakkanen hellittää.,The frost eases up a little.
Luvassa kovat pakkaset!,Heavy frost is coming!
Luvassa on yöpakkasia.,Frost nights are coming.
Vuoden ensimmäiset pakkasyöt.,The year’s first frost nights.
Taitaa tulla suojasää.,I think it’s going to thaw.
Nurmikko on kuurassa.,The lawn is covered in rime.
On kuurainen aamu.,It’s a frosty morning.
Katonreunasta riippuu jääpuikkoja.,Icicles hang from the roof edge.
Tuiskutuuli vinkuu nurkissa.,The winter wind whines in the corners.
Lumisade yltyi tuiskuksi.,The snow turned into a snow storm.
Ikkunasta tuiskutti lunta sisään.,Snow got blown inside through the window.
Tykky aiheuttaa puustolle tuhoja.,Dense wet snow causes damage to trees.
Pyry tuiskutti tien umpeen.,Heavy snowfall has cut off the road.
Tykkylumi aiheutti sähkökatkoksia.,The thick snow caused power outages.
Nuoskalla tehtiin lumiukkoja.,We made snowmen with good snow.
Maa on nietosten peitossa.,The land is covered in piles of snow.
Tuuli kasaa lunta nietoksiksi.,The wind gathers the snow into piles.
Tiellä on hiekansekaista sohjoa.,There’s sandy snow on the road.
Latu on pyryttynyt umpeen.,The ski track has snowed over.
Pelloilla oli jo pälviä.,There were already snow-free spots in the fields.
Lämpötilat jäävät pakkasen puolelle.,Temperatures remain below freezing.
Sää pysyttelee nollan tuntumassa.,The weather stays close to zero degrees.
Loskaiset tiet jäätyvät.,The slushy roads will freeze.
Afghanistan,Afganistan – Olen kotoisin Afganistanista.
Albania,Albania – Olen kotoisin Albaniasta.
Algeria,Algeria – Olen kotoisin Algeriasta.
Angola,Angola – Olen kotoisin Angolasta.
Argentina,Argentiina – Olen kotoisin Argentiinasta.
Armenia,Armenia – Olen kotoisin Armeniasta.
Australia,Australia – Olen kotoisin Australiasta.
Austria,Itävalta – Olen kotoisin Itävallasta.
Azerbaijan,Azerbaidžan – Olen kotoisin Azerbaidžanista.
Bahrain,Bahrain – Olen kotoisin Bahrainista.
Bangladesh,Bangladesh – Olen kotoisin Bangladeshista.
Belarus,Valko-Venäjä – Olen kotoisin Valko-Venäjältä.
Belgium,Belgia – Olen kotoisin Belgiasta.
Belize,Belize – Olen kotoisin Belizestä
Benin,Benin – Olen kotoisin Beninistä.
Bhutan,Bhutan – Olen kotoisin Bhutanista.
Bolivia,Bolivia – Olen kotoisin Boliviasta.
Bosnia and Herzegovina,Bosnia ja Hertsegovina– Olen kotoisin Bosnia ja Hertsegovinasta.
Botswana,Botswana – Olen kotoisin Botswanasta.
Brazil,Brasilia – Olen kotoisin Brasiliasta.
Brunei,Brunei – Olen kotoisin Bruneista.
Bulgaria,Bulgaria – Olen kotoisin Bulgariasta.
Burkina Faso,Burkina Faso – Olen kotoisin Burkina Fasosta.
Burundi,Burundi – Olen kotoisin Burundista.
Cambodia,Kambodža – Olen kotoisin Kambodžasta.
Cameroon,Kamerun – Olen kotoisin Kamerunista.
Canada,Kanada – Olen kotoisin Kanadasta.
Cape Verde,Kap Verde – Olen kotoisin Kap Verdestä.
Central African Republic,Keski-Afrikan tasavalta– Olen kotoisin Keski-Afrikan tasavallasta.
Chad,Tšad – Olen kotoisin Tšadista.
Chile,Chile – Olen kotoisin Chilestä.
China,Kiina – Olen kotoisin Kiinasta.
Colombia,Kolumbia – Olen kotoisin Kolumbiasta.
Comoros,Komorit – Olen kotoisin Komoreilta.
Costa Rica,Costa Rica – Olen kotoisin Costa Ricasta.
Croatia,Kroatia – Olen kotoisin Kroatiasta.
Cuba,Kuuba – Olen kotoisin Kuubasta.
Cyprus,Kypros – Olen kotoisin Kyprokselta/Kyproksesta.
Czech Republic,Tšekki – Olen kotoisin Tšekistä.
Democratic Republic of the Congo,Kongon demokraattinentasavalta– Olen kotoisin Kongon demokraattisestatasavallasta.
Denmark,Tanska – Olen kotoisin Tanskasta.
Djibouti,Djibouti – Olen kotoisin Djiboutista.
Dominican Republic,Dominikaaninentasavalta– Olen kotoisin Dominikaanisestatasavallasta.
East Timor,Itä-Timor – Olen kotoisin Itä-Timorista.
Ecuador,Ecuador – Olen kotoisin Ecuadorista.
Egypt,Egypti – Olen kotoisin Egyptistä.
El Salvador,El Salvador – Olen kotoisin El Salvadorista.
Equatorial Guinea,Päiväntasaajan Guinea– Olen kotoisin Päiväntasaajan Guineasta.
Eritrea,Eritrea – Olen kotoisin Eritreasta.
Estonia,Viro – Olen kotoisin Virosta.
Eswatini,Swazimaa – Olen kotoisin Swazimaasta.
Ethiopia,Etiopia – Olen kotoisin Etiopiasta.
Fiji,Fidži – Olen kotoisin Fidžiltä/Fidžistä.
Finland,Suomi – Olen kotoisin Suomesta.
France,Ranska – Olen kotoisin Ranskasta.
Gabon,Gabon – Olen kotoisin Gabonista.
Gambia,Gambia – Olen kotoisin Gambiasta.
Georgia,Georgia – Olen kotoisin Georgiasta.
Germany,Saksa – Olen kotoisin Saksasta.
Ghana,Ghana – Olen kotoisin Ghanasta.
Greece,Kreikka – Olen kotoisin Kreikasta.
Grenada,Grenada – Olen kotoisin Grenadasta.
Guatemala,Guatemala – Olen kotoisin Guatemalasta.
Guinea,Guinea – Olen kotoisin Guineasta.
Guinea-Bissau,Guinea-Bissau – Olen kotoisin Guinea-Bissausta.
Guyana,Guyana – Olen kotoisin Guyanasta.
Haiti,Haiti – Olen kotoisin Haitista.
Honduras,Honduras – Olen kotoisin Hondurasista.
Hungary,Unkari – Olen kotoisin Unkarista.
Iceland,Islanti – Olen kotoisin Islannista.
India,Intia – Olen kotoisin Intiasta.
Indonesia,Indonesia – Olen kotoisin Indonesiasta.
Iran,Iran – Olen kotoisin Iranista.
Iraq,Irak – Olen kotoisin Irakista.
Ireland,Irlanti – Olen kotoisin Irlannista.
Israel,Israel – Olen kotoisin Israelista.
Italy,Italia – Olen kotoisin Italiasta.
Ivory Coast,Norsunluurannikko – Olen kotoisin Norsunluurannikolta.
Jamaica,Jamaika – Olen kotoisin Jamaikalta/Jamaikasta.
Japan,Japani – Olen kotoisin Japanista.
Jordan,Jordania – Olen kotoisin Jordaniasta.
Kazakhstan,Kazakstan – Olen kotoisin Kazakstanista.
Kenya,Kenia – Olen kotoisin Keniasta.
Kiribati,Kiribati – Olen kotoisin Kiribatista.
Kosovo,Kosovo – Olen kotoisin Kosovosta.
Kuwait,Kuwait – Olen kotoisin Kuwaitista.
Kyrgyzstan,Kirgisia – Olen kotoisin Kirgisiasta.sometimes: Kirgistan – Olen kotoisin Kirgistanista.
Laos,Laos – Olen kotoisin Laosista.
Latvia,Latvia – Olen kotoisin Latviasta.
Lebanon,Libanon – Olen kotoisin Libanonista.
Lesotho,Lesotho – Olen kotoisin Lesothosta.
Liberia,Liberia – Olen kotoisin Liberiasta.
Liechtenstein,Liechtenstein – Olen kotoisin Liechtensteinista.
Lithuania,Liettua – Olen kotoisin Liettuasta.
Luxembourg,Luxemburg – Olen kotoisin Luxemburgista.
Madagascar,Madagaskar – Olen kotoisin Madagaskarilta/Madagaskarista.
Malawi,Malawi – Olen kotoisin Malawista.
Malaysia,Malesia – Olen kotoisin Malesiasta.
Maldives,Malediivit – Olen kotoisin Malediiveilta.
Mali,Mali – Olen kotoisin Malista.
Malta,Malta – Olen kotoisin Maltalta/Maltasta.
Marshall Islands,Marshallinsaaret – Olen kotoisin Marshallinsaarilta.
Mauritania,Mauritania – Olen kotoisin Mauritaniasta.
Mauritius,Mauritius – Olen kotoisin Mauritiukselta/Mauritiuksesta.
Mexico,Meksiko – Olen kotoisin Meksikosta.
Micronesia,Mikronesia – Olen kotoisin Mikronesiasta.
Moldova,Moldova – Olen kotoisin Moldovasta.
Mongolia,Mongolia – Olen kotoisin Mongoliasta.
Montenegro,Montenegro – Olen kotoisin Montenegrosta.
Morocco,Marokko – Olen kotoisin Marokosta.
Mozambique,Mosambik – Olen kotoisin Mosambikista.
Myanmar (prev. Burma),Myanmar – Olen kotoisin MyanmaristaSometimes still: Burma – Olen kotoisin Burmasta.
Namibia,Namibia – Olen kotoisin Namibiasta.
Nepal,Nepal – Olen kotoisin Nepalista.
Netherlands,Alankomaat – Olen kotoisin Alankomaista.Colloquially: Hollanti – Olen kotoisin Hollannista.
New Zealand,Uusi-Seelanti – Olen kotoisin Uudesta-Seelannista.
Nicaragua,Nicaragua – Olen kotoisin Nicaraguasta.
Niger,Niger – Olen kotoisin Nigeristä.
Nigeria,Nigeria – Olen kotoisin Nigeriasta.
North Korea,Pohjois-Korea – Olen kotoisin Pohjois-Koreasta.
North Macedonia,Pohjois-Makedonia – Olen kotoisin Pohjois-Makedoniasta.
Norway,Norja – Olen kotoisin Norjasta.
Oman,Oman – Olen kotoisin Omanista.
Pakistan,Pakistan – Olen kotoisin Pakistanista.
Palestine,Palestiina – Olen kotoisin Palestiinasta.
Panama,Panama – Olen kotoisin Panamasta.
Papua New Guinea,Papua-Uusi-Guinea– Olen kotoisin Papua-Uudesta-Guineasta.
Paraguay,Paraguay – Olen kotoisin Paraguaysta.
Peru,Peru – Olen kotoisin Perusta.
Philippines,Filippiinit – Olen kotoisin Filippiineiltä.
Poland,Puola – Olen kotoisin Puolasta.
Portugal,Portugali – Olen kotoisin Portugalista.
Puerto Rico,Puerto Rico – Olen kotoisin Puerto Ricosta.
Qatar,Qatar – Olen kotoisin Qatarista.
Republic of Congo,Kongon tasavalta – Olen kotoisin Kongon tasavallasta.
Romania,Romania – Olen kotoisin Romaniasta.
Russia,Venäjä – Olen kotoisin Venäjältä.
Rwanda,Ruanda – Olen kotoisin Ruandasta.
Saint Lucia,Saint Lucia – Olen kotoisin Saint Lucialta/Luciasta.
Saint Vincent and the Grenadines,Saint Vincent ja Grenadiinit– Olen kotoisin Saint Vincent ja Grenadiineilta.
Samoa,Samoa – Olen kotoisin Samoasta.
São Tomé and Príncipe,São Tomé ja Príncipe – Olen kotoisin São Tomé ja Príncipestä.
Saudi Arabia,Saudi-Arabia – Olen kotoisin Saudi-Arabiasta.
Senegal,Senegal – Olen kotoisin Senegalista.
Serbia,Serbia – Olen kotoisin Serbiasta.
Sierra Leone,Sierra Leone – Olen kotoisin Sierra Leonesta.
Singapore,Singapore – Olen kotoisin Singaporesta.
Slovakia,Slovakia – Olen kotoisin Slovakiasta.
Slovenia,Slovenia – Olen kotoisin Sloveniasta.
Somalia,Somalia – Olen kotoisin Somaliasta.
South Africa,Etelä-Afrikka – Olen kotoisin Etelä-Afrikasta.
South Korea,Etelä-Korea – Olen kotoisin Etelä-Koreasta.Korean tasavalta – Olen kotoisin Korean tasavallasta.
South Sudan,Etelä-Sudan – Olen kotoisin Etelä-Sudanista.
Spain,Espanja – Olen kotoisin Espanjasta.
Sri Lanka,Sri Lanka – Olen kotoisin Sri Lankasta.
Sudan,Sudan – Olen kotoisin Sudanista.
Suriname,Suriname – Olen kotoisin Surinamesta.
Sweden,Ruotsi – Olen kotoisin Ruotsista.
Switzerland,Sveitsi – Olen kotoisin Sveitsistä.
Syria,Syyria – Olen kotoisin Syyriasta.
Taiwan,Taiwan – Olen kotoisin Taiwanista.
Tajikistan,Tadžikistan – Olen kotoisin Tadžikistanista.
Tanzania,Tansania – Olen kotoisin Tansaniasta.
Thailand,Thaimaa – Olen kotoisin Thaimaasta.
Togo,Togo – Olen kotoisin Togosta.
Tonga,Tonga – Olen kotoisin Tongasta.
Trinidad and Tobago,Trinidad ja Tobago – Olen kotoisin Trinidad ja Tobagosta.
Tunisia,Tunisia – Olen kotoisin Tunisiasta.
Turkey,Turkki – Olen kotoisin Turkista.
Turkmenistan,Turkmenistan – Olen kotoisin Turkmenistanista.
Uganda,Uganda – Olen kotoisin Ugandasta.
Ukraine,Ukraina – Olen kotoisin Ukrainasta.
United Kingdom,Yhdistynytkuningaskunta– Olen kotoisin Yhdistyneestäkuningaskunnasta.Iso-Britannia – Olen kotoisin Isosta-Britanniasta.
United States,Yhdysvallat – Olen kotoisin Yhdysvalloista.USA – Olen kotoisin USA:sta.
Uruguay,Uruguay – Olen kotoisin Uruguaysta.
Uzbekistan,Uzbekistan – Olen kotoisin Uzbekistanista.
Vanuatu,Vanuatu – Olen kotoisin Vanuatusta.
Venezuela,Venezuela – Olen kotoisin Venezuelasta.
Vietnam,Vietnam – Olen kotoisin Vietnamista.
Yemen,Jemen – Olen kotoisin Jemenistä.
Zambia,Sambia – Olen kotoisin Sambiasta.Zambia (sometimes used) – Olen kotoisin Zambiasta.
Zimbabwe,Zimbabwe – Olen kotoisin Zimbabwesta.
aikuiskoulutuskeskus,adult education center
aikuislukio,high school for adults
alkeiskurssi,"elementary, basic course"
ammatillinen aikuiskoulutus,professional adult education
ammattikorkeakoulu,university of applied sciences
ammattikoulu,trade/vocational school
erityisopetus,special education
esikoulu (spoken: eskari),preschool (for 6 year olds)
jatkokurssi,intermediate course
korkeakoulu,university
koulu,school
koulutus,"schooling, education"
kurssi,course
leikkikoulu,playschool
lukio,high school
oppilaitos,academy
peruskoulu,primary school
poliisiammattikorkeakoulu,police academy
päiväkoti,kindergarten (for kids below 6)
sisäoppilaitos,boarding school
yhteiskoulu,co-educational school
yksityiskoulu,private school
yliopisto,university
dekaani,dean
dosentti,docent
kasvattaja,educator
koulunkäyntiavustaja,school attendance assistant
koululainen,schoolchild
kouluttaja,instructor
lastentarhanopettaja,kindergarten teacher
lehtori,lecturer
liikunnanopettaja,PE teacher
luennoitsija,lecturer
luokanvalvoja,homeroom teacher
luokkakaveri,classmate
opettaja,teacher
opiskelija,student
oppilas,pupil
rehtori,principal
seiskaluokkalainen,seventh-grader
sijainen,substitute
ylioppilas,secondary school graduate
yliopisto-opiskelija,university student
dokumenttikamera,document camera
koulukirja,study book
kynä,pen
liitu,chalk
lyijykynä,pencil
laskin,calculator
"mustataulu, valkotaulu, taulu","blackboard, whiteboard, board"
oppimateriaalit,learning materials
paperi,paper
penaali,pencil case
"projektori, tykki",projector
(pyyhe)kumi,eraser
ruutupaperi,squared paper
sanakirja,dictionary
teroitin,pencil-sharpener
värikynä,colored pencil
"aine, oppiaine",school subject
biologia,biology
elämänkatsomustieto,ethics
fysiikka,physics (related vocab)
historia,history
kemia,chemistry (related vocab)
kotitalous,domestic science
kuvataide,visual arts (related vocab)
käsityö,handicraft
liikunta,physical education
maantieto,geography (related vocab)
matematiikka,mathematics (related vocab)
musiikki,music
terveystieto,health education
toinen kotimainen kieli,other official language (Finnish/Swedish)
uskonto,religion
vieraat kielet,foreign languages
yhteiskuntaoppi,social studies
äidinkieli,mothertongue
harjoitella,to practice
huijata,to cheat
ilmoittautua kurssille,to sign up for a course
kerrata,to rehearse
kirjoittaa,to write
kouluttaa,to educate
kuunnella,to listen
kääntää,to translate
luennoida,to lecture
luntata,to copy someone’s answers
muistaa,to remember
opettaa,to teach
opiskella,to study
oppia,to learn
osallistua pääsykokeeseen,to take an entrance exam
päntätä kokeeseen,to cram for an exam
saada huonoja arvosanoja,to get bad grades
saada hyviä arvosanoja,to get good grades
selittää,to explain
suorittaa tutkinto,to finish a degree
tarkistaa,to check
"tehdä läksyt, kotitehtävät",to do the homework
toistaa,to repeat
tutkia,to examine
täydentää aukot,to fill in the gaps
unohtaa,to forget
valmistua + translative,to graduate as a…
valmistua + mistä,to graduate from…
essee,essay
fuksi,first year student (spoken)
jatkotutkinto,graduate degree
kandi,bachelor thesis
kandidaatin tutkinto,bachelor’s degree
kirjatentti,book-based exam
lisensiaatti,licentiate degree
luennoitsija,lecturer
luento,lecture
luentosali,lecture hall
lääketieteellinen laitos,medical faculty
maisterin tutkinto,master’s degree
opintolaina,student loan
opiskelija-asunto,student apartment
opiskelija-asuntola,student housing
opiskelijakortti,student card
pakollinen kurssi,obligatory course
pro gradu,master’s thesis
pääaine,major
pääsykoe,entrance exam
seminaari,seminar
sivuaine,minor
tentti,exam
tenttikirja,exam book
tiedekunta,faculty
tutkielma,term paper
tutkinto,degree
tuutori,tutor
yliopistotutkinto,university degree
vaihto-opiskelija,exchange student
vaihtovuosi,exchange year
valinnainen kurssi,optional course
väitellä,to defend your thesis
väitöskirja,dissertation
akateeminen,academic
arvosana,"grade, mark (e.g. 4/5)"
harjoitus,exercise
hyväksytty / hylätty,pass / no pass
jälki-istunto,detention
kevätlukukausi,spring term
"koe, testi, tentti","test, exam"
koulukiusaaminen,school bullying
kouluruoka,school lunch
leirikoulu,school camp
lukukausi,semester
lukuvuosi,academic year
luokka,classroom
"läksyt, kotitehtävä",homework
oppivelvollisuus,compulsory education
syyslukukausi,autumn term
tukiopetus,tutoring
varhaiskasvatus,early childhood education
välitunti,recess
ekalla luokalla,in the first year of primary school
tokalla luokalla,in the second year of primary school
arvioida,determine
jakaa,to divide
kertoa,to multiply
vähentää,to subtract
laskea yhteen,to add up
lisätä,to add
tarkistaa,to check
laskea,to count
ratkaista,to solve
alleviivata,to underline
ympyröidä,to circle
vertailla,to compare
sieventää,to simplify
perustella,to prove
suora,straight line
jana,segment
ympyrä,circle
halkaisija,diameter
säde,radius
kulma,angle
suorakulma,right angle
kolmio,triangle
neliö,square
paraabeli,parabola
lieriö,cylinder
kartio,cone
kuutio,cube
pyramidi,pyramid
soikio,oval
suorakulmio,rectangle
särmä,edge
pystysuora,vertical
vaakasuora,horizontal
tilavuus,volume
pinta-ala,surface area
aste,degree
plus,plus
miinus,minus
summa,sum
tulos,result
yhtälö,equation
jakojäännös,remainder
kymmenylitys,ten-crossing
päässälasku,counting in your head
reaaliluku,real number
kokonaisluku,integral number
murtoluku,fraction
laskuoppi,arithemtic
laskutehtävä,arithmetical problem
aritmetiikka,arithmetic
luku,number
parillinen luku,even number
pariton luku,odd number
perusluku,cardinal number
järjestysluku,ordinal number
numero,figure
laskin,calculator
virhe,mistake
kertotaulu,multiplication table
kertolasku,multiplication
vähennyslasku,subtraction
jako,division
yhtä suuri kuin,equal to
fyysikko,physicist
fysiikka,physics
voima,force
teho,power
säteily,radiation
massa,mass
liikemäärä,momentum
"nopeus, vauhti","velocity, speed"
kitka,friction
törmäys,collision
vastavoima,opposite reaction
ketjureaktio,chain reaction
kiihtyvyys,acceleration
jännite,voltage
paino,pressure
työ,work
taajuus,frequency
mittayksikkö,unit of measure
joule,Joule
newton,Newton
pascal,Pascal
mooli,mole
energia,energy
liike-energia,kinetic energy
lämpöenergia,thermal energy
potentiaalienergia,potential energy
säteilyenergia,radioation energy
kemiallinen energia,chemical energy
sähköenergia,electric energy
aktivointienergia,activation energy
atomifysiikka,atomics physics
astrofysiikka,astrophysics
geofysiikka,geophysics
hiukkasfysiikka,particle physics
laskennallinen fysiikka,computational physics
ydinfysiikka,nuclear physics
sähkö,electricity
sähköinen,electric
sähkövirta,electric current
tasavirta,direct current
vaihtovirta,alternating current
sähkökipinä,electric spark
sähköistys,electrification
virtapiiri,electric circuit
sähköisku,electric shock
sähköistävä,electrical
sähkölaitteet,electrical equipment
elektroniikka,electronics
röntgenkuvaus,radiography
röntgenlaite,X-ray machine
röntgensäde,X-ray
tyhjiöputki,vacuum tube
akustiikka,acoustics
värähdellä,"to resonate, oscillate"
värähdin,vibrator
kaiku,echo
"luotain, tutka",radar
aalto,wave
aallonpituus,wavelength
absorptio,absorption
aerodynaaminen,aerodynamic
akromaattinen,achromatic
Newtonin lait,Newton’s laws
lämpöoppi,thermodynamics
lämmönsäädin,thermostat
lämpö,heat
lämmittää,to heat
lämpöenergia,heat energy
lämmönjohdin,heat conductor
höyry,steam
höyryturbiini,steam turbine
haihduttaa,to vaporize
tiivistyä,to condense
lauhdutus,condensation
laajentaa,to expand
sulaa,to melt
sulamispiste,melting point
kiehumispiste,boiling point
kiehua,to boil
atomiteoria,atomic theory
ydinreaktio,nuclear reaction
ydinvoima,nuclear power
ydinvoimala,nuclear plant
radioaktiivinen,radioactive
alkuaine,chemical element
hiukkanen,particle
partikkeli,particle
molekyyli,molecule
atomi,atom
protoni,proton
neotroni,neutron
isotooppi,isotope
nukleoni,nucleon
fotoni,photon
ioni,ion
dioptri,diopter
hadroni,hadron
positroni,positron
elektroni,electron
elektronipilvi,electron cloud
fuusio,fusion
fuusioitua,to fuse
fissio,fission
allotropia,allotropy
hapetus,oxidation
hapetusluku,oxidation number
magneetismi,magnetism
magneetti,magnet
magneettikenttä,magnetic field
magneettinapa,magnetic pole
generaattori,generator
dynamo,"generator, dynamo"
johtaa,to conduct
johdin,"conductor, wire"
jännite,tension
muuntaja,transformer
jakaja,distributor
jakokeskus,distribution center
sähkömagnetismi,electromagnetism
sähköpylväs,pylon
eristin,insulator
kuormitus,load
vastus,resistance
mikroprosessori,microprocessor
johto,wire
kaapeli,cable
pistoke,plug
pistorasia,socket
katkaisin,switch
heijastua,to reflect
heijastuminen,reflecting
varjo,shadow
painovoima,gravitation
gravitaatiokenttä,gravitational field
gravitaatiolaki,law of gravity
kiihtyvyys,acceleration
todistaa,to prove
valo,light
säteillä,to radiate
taittua,to refract
taittuminen,refraction
Kappale,body (physics term)
jatkaa,"to continue, sg3 present tense [R:jatkaa+ partitive]"
tasaista,"tasainen(uniform, steady)sg. partitive"
suoraviivaista,"suoraviivainen(linear, straight forward)sg. partitive"
liikettä,"liike(movement, momentun)sg. partitive"
vakionopeudella,vakionopeus(constant velocity)sg.millä-form
tai,"or,conjunction"
pysyy,"pysyä(to stay, persist) sg3 present tense"
levossa,lepo(rest)sg. inessive‘in/at rest’ [R:pysyä + missä]
jos,"if,conjunction"
siihen,se(it)sg.mihin-form[R:vaikuttaa + mihin]
ei,"no, doesn’t"
vaikuta,"vaikuttaa(to affect) sg3 neg, present"
ulkoisia,ulkoinen(external)pl. partitive[ne.g. object]
voimia,voima(force)pl. partitive[ne.g. object]
Kappaleen,"kappale(body, physics term)sg. genitive‘of the body’"
liikkeen,liike(motion)sg. genitive‘of the motion’
suunta,direction
ja,"and,conjunction"
nopeus,speed
muuttuvat,muuttua(to change) pl3 present tense
vain,"only, just (adv.)"
silloin,when
kun,"when,conjunction"
kappaleeseen,"kappale(body, physical term)sg. mihin-form"
vaikuttaa,"to influence, sg3 present [R:vaikuttaa + mihin]"
jokin,some
voima,force
Liikkeen,liike(movement)sg. genitive‘of the movement’
suunta,direction
ja,"and,conjunction"
nopeus,speed
muuttuvat,muuttua(to change) pl3 present [R:muuttua + mihin]
siihen,se(it)sg. mihin-form
suuntaan,suunta(direction)sg. mihin-form
johon,"joka,pronoun,sg. mihin-form‘into which’"
voima,force
osoittaa,"points, sg3 present tense"
Jokaiselle,"jokainen(every), sg.mille-form"
vaikutukselle,"vaikutus(action, physics term), sg.mille-form"
on,olla(to be) sg3 present tense
aina,"always, adverb"
vastakkainen,opposite
ja,"and, conjunction"
yhtä,"equal, equally <yksi"
suuri,large
vastavaikutus,reaction
lintu – linnut,bird – birds
fasaani,pheasant
haikara,stork
hanhi,goose
harakka,magpie
haukka,hawk
joutsen,swan
kakadu,cockatoo
kanahaukka,goshawk
kivitasku,wheatear
kolibri,hummingbird
korppi,raven
kotka,eagle
kottarainen,starling
kuovi,curlew
kurki,crane
kyyhky,dove
käki,cuckoo
leivonen,lark
lokki,gull
maakotka,golden eagle
metso,wood grouse
metsästyshaukka,falcon
naakka,rook
närhi,jay
palokärki,black woodpecker
peipponen,chaffinch
pelikaani,pelican
pingviini,penguin
pulu,pigeon
punatulkku,bullfinch
pääskynen,swallow
pöllö,owl
rastas,fieldfare
riikinkukko,peacock
satakieli,nightingale
sorsa,wild duck
strutsi,ostrich
talitiainen,great tit
teeri,black grouse
tervapääsky,swift
tiira,tern
tikka,woodpecker
tilhi,waxwing
törmäpääsky,bank swallow
varis,crow
varpunen,sparrow
västäräkki,wagtail
haukkametsästys,falconry
hautoa munia,to brood eggs
häkkilintu,cage bird
höyhen,feather
kuoriutua munasta,to hatch
lentää,to fly
liitäminen,gliding flight
linnunlaulu,bird vocalization
linnunparvi,bird flock
linnunpesä,bird’s nest
linnunpoikanen,"chick, nestling"
linnunpönttö,nest box
lintubongaus,bird watching
lintuhäkki,aviary
munia,to lay eggs
muuttolintu,migratory bird
nokka,beak
pesintä,nesting
pesiä,to nest
